"ROUTE_ID","STOP_ID","SCHEDULED","REAL_TIME","DELAY"
"E","CIPO01","2012-10-01 11:47:40 AM","2012-10-01 11:47:01 AM","-0.65"
"E","GAIU01","2012-10-01 11:48:48 AM","2012-10-01 11:47:47 AM","-1.02"
"E","SVON01","2012-10-01 11:49:40 AM","2012-10-01 11:48:30 AM","-1.17"
"E","CLGE01","2012-10-01 11:51:00 AM","2012-10-01 11:50:11 AM","-0.82"
"E","BELL01","2012-10-01 11:52:11 AM","2012-10-01 11:51:19 AM","-0.87"
"E","BOCA01","2012-10-01 11:53:20 AM","2012-10-01 11:52:33 AM","-0.78"
"E","BISE01","2012-10-01 11:55:06 AM","2012-10-01 11:53:56 AM","-1.17"
"E","VSNA01","2012-10-01 11:56:20 AM","2012-10-01 11:55:33 AM","-0.78"
"E","BLTE01","2012-10-01 11:57:44 AM","2012-10-01 11:57:15 AM","-0.48"
"E","BOIS01","2012-10-01 11:58:15 AM","2012-10-01 11:57:47 AM","-0.47"
"E","RUTH01","2012-10-01 11:59:46 AM","2012-10-01 11:59:33 AM","-0.22"
"E","TCRE01","2012-10-01 12:00:24 PM","2012-10-01 12:00:27 PM","0.05"
"E","MGRE01","2012-10-01 12:01:14 PM","2012-10-01 12:01:09 PM","-0.08"
"E","CRIG01","2012-10-01 12:02:31 PM","2012-10-01 12:02:12 PM","-0.32"
"E","PLGE03","2012-10-01 12:03:40 PM","2012-10-01 12:05:18 PM","1.63"
"E","AUBI00","2012-10-01 12:07:38 PM","2012-10-01 12:08:16 PM","0.63"
"E","VOLL00","2012-10-01 12:08:22 PM","2012-10-01 12:09:03 PM","0.68"
